HR,Name,DM,SAO,B-V,Vmag,x,y,z,RAh,RAm,RAs,DEsn,DEd,DEm,DEs,SpType,pmRA,pmDE
1,,3,36042,0.07,6.7,0.7040940672212916,0.7099293417036734,-0.015870547941650586,0,5,9.9,+,45,13,45,A1Vn,-0.012,-0.018
2,,6,128569,1.1,6.29,0.9997174261645215,-0.00877986296023728,-0.02209031075797514,0,5,3.8,-,0,30,11,gG9,0.045,-0.06
3,33    Psc,28,128572,1.04,4.61,0.9947729755573012,-0.09945000136187951,-0.023160836124704105,0,5,20.1,-,5,42,27,K0IIIbCN-0.5,-0.009,0.089
4,86    Peg,87,91701,0.9,5.51,0.9724907543038803,0.2316818768527747,-0.02419174924319183,0,5,42.0,+,13,23,46,G5III,0.045,-0.012
5,,123,21085,0.67,5.96,0.5232450652342131,0.852062086618949,-0.014310913828500582,0,6,16.0,+,58,26,12,G5V,0.263,0.03
6,,142,214963,0.52,5.7,0.654821759893997,-0.7555677126511252,-0.01805254465373621,0,6,19.0,-,49,4,30,G1IV,0.565,-0.038
7,10    Cas,144,10978,-0.03,5.59,0.43512027578180196,0.9002892284895923,-0.012233179030132931,0,6,26.5,+,64,11,46,B9III,0.008,0.0
8,,166,73743,0.75,6.13,0.8740746272117189,0.48513608770959826,-0.025229396871897673,0,6,36.8,+,29,1,17,K0V,0.38,-0.182
9,,203,166053,0.38,6.18,0.9193611273594194,-0.3924575175943641,-0.027426527014676655,0,6,50.1,-,23,6,27,A7V,0.1,-0.045
10,,256,147090,0.14,6.19,0.9538268340209247,-0.29881409572466194,-0.030405705021786245,0,7,18.2,-,17,23,11,A6Vn,-0.018,0.036
11,,315,128595,-0.14,6.43,0.9984417146567622,-0.04447183133564382,-0.03371051246894259,0,7,44.1,-,2,32,56,B8IIIpSi,0.027,-0.002
12,,319,166066,0.14,5.94,0.923287909086916,-0.3828267587790584,-0.03135458015396027,0,7,46.8,-,22,30,32,A2Vp:,0.052,-0.044
