HR,Name,B-V,Vmag,x,y,z
1,,0.07,6.7,0.7040940672212916,0.7099293417036734,-0.015870547941650586
2,,1.1,6.29,0.9997174261645215,-0.00877986296023728,-0.02209031075797514
3,33    Psc,1.04,4.61,0.9947729755573012,-0.09945000136187951,-0.023160836124704105
4,86    Peg,0.9,5.51,0.9724907543038803,0.2316818768527747,-0.02419174924319183
5,,0.67,5.96,0.5232450652342131,0.852062086618949,-0.014310913828500582
6,,0.52,5.7,0.654821759893997,-0.7555677126511252,-0.01805254465373621
7,10    Cas,-0.03,5.59,0.43512027578180196,0.9002892284895923,-0.012233179030132931
8,,0.75,6.13,0.8740746272117189,0.48513608770959826,-0.025229396871897673
9,,0.38,6.18,0.9193611273594194,-0.3924575175943641,-0.027426527014676655
10,,0.14,6.19,0.9538268340209247,-0.29881409572466194,-0.030405705021786245
11,,-0.14,6.43,0.9984417146567622,-0.04447183133564382,-0.03371051246894259
12,,0.14,5.94,0.923287909086916,-0.3828267587790584,-0.03135458015396027
13,,1.12,5.68,0.8330868305462927,-0.5523654484214053,-0.029304336889828097
14,,1.38,6.07,0.998447878446852,-0.04270878715090291,-0.035746237915044804
15,21Alp And,-0.11,2.06,0.8732671212883789,0.4861913441295175,-0.031976737954967124
16,,1.04,5.99,0.9875181180549493,-0.1533978546845377,-0.035736041909993264
17,,0.48,6.19,0.8019639325182836,0.5965984585955457,-0.03039950889782383
18,,1.67,6.06,0.9526449839950867,-0.30199555034552067,-0.0355840138335627
19,,0.97,6.23,0.9021886606600803,0.42992464117164036,-0.034934560106099063
20,,0.19,6.01,0.17840125379582392,0.9839309489059038,-0.007271893096422688
21,11Bet Cas,0.34,2.27,0.5123852478674153,0.8585102421274577,-0.020530999247510208
22,87    Peg,1.04,5.53,0.9491680513068007,0.31253295228612626,-0.03745883225313522
23,,0.74,6.33,0.5873006200800015,-0.8090369415522949,-0.023177766444467188
24,Kap1Scl,0.42,5.42,0.8823129486701978,-0.46928320347376956,-0.03601576802315197
25,Eps Phe,1.03,3.88,0.6972333833644999,-0.7162714958902618,-0.028648792247123273
26,34    Psc,-0.07,5.51,0.9801982815797617,0.1933021259281302,-0.04296064361421215
27,22    And,0.4,5.03,0.6930476274667663,0.720214856319929,-0.031233744552173356
28,,-0.08,6.74,0.5416450218923574,0.8402407934593081,-0.024820944101704642
29,,0.98,5.84,0.994799042558769,-0.09147747964389084,-0.04479660302029257
30,Gam3Oct,1.05,5.28,0.13517279761939063,-0.9908043395735933,-0.005922454379983324
31,,1.01,5.85,0.9749266909040976,-0.2178025688989898,-0.04560688921409912
32,,0.37,6.64,0.2883121623590073,-0.9574427217845913,-0.013398937927573516
33,6    Cet,0.49,4.89,0.9626152867892651,-0.2667010761597527,-0.04735341186071745
34,Kap2Scl,1.34,5.41,0.8834556024895964,-0.46638235176482185,-0.04465087224297235
35,The Scl,0.44,5.25,0.8167463022535509,-0.5754771700326106,-0.04185097999341385
36,,1.45,6.16,0.6662382417007763,0.7449231672225138,-0.03487234191499983
37,,1.48,5.25,0.9500482503480879,-0.3079932064235759,-0.05048273771757423
38,,-0.13,6.73,0.790053145630123,0.6114349730079799,-0.04430915100381323
39,88Gam Peg,-0.23,2.83,0.9634822525726127,0.2619131345311911,-0.05570869714551231
40,,0.65,6.3,0.8895850256099933,0.45379178126117325,-0.05207207956552996
41,23    And,0.31,5.72,0.7529946483647216,0.6565235893869813,-0.044450378092020945
